"YEAR","TYPE","WEEK","Match","Team A","Team B","MATCH WIN","Score A","Score B","","","","","","","","","","","","","","","",""
"2026","GCS Spring","w2d1","8","DCG","BMG","BMG","1","3","","","","","","","","","","","","","","","",""
"2026","GCS Spring","w2d2","9","HKA","BMG","HKA","3","2","","","","","","","","","","","","","","","",""
"2026","GCS Spring","w2d2","10","FW","ANK","ANK","0","3","","","","","","","","","","","","","","","",""
"2026","GCS Spring","w2d3","11","ONE","DCG","ONE","3","1","","","","","","","","","","","","","","","",""
"2026","GCS Spring","w2d3","12","HKA","ANK","HKA","3","2","","","","","","","","","","","","","","","",""
"2026","GCS Spring","w3d1","13","FW","LIT","FW","3","1","","","","","","","","","","","","","","","",""
"2026","GCS Spring","w3d1","14","HKA","DCG","DCG","0","3","","","","","","","","","","","","","","","",""
"2026","GCS Spring","w3d2","15","BMG","LIT","BMG","3","0","","","","","","","","","","","","","","","",""
"2026","GCS Spring","w3d2","16","FW","DCG","FW","3","2","","","","","","","","","","","","","","","",""
"2026","GCS Spring","w3d3","17","HKA","ONE","HKA","3","1","","","","","","","","","","","","","","","",""
"2026","GCS Spring","w3d3","18","ANK","BMG","ANK","3","2","","","","","","","","","","","","","","","",""
"2026","GCS Spring","w4d1","19","DCG","LIT","DCG","3","0","","","","","","","","","","","","","","","",""
"2026","GCS Spring","w4d1","20","FW","ONE","FW","3","2","","","","","","","","","","","","","","","",""
"2026","GCS Spring","w4d2","21","ONE","ANK","ONE","3","2","","","","","","","","","","","","","","","",""
"2026","GCS Spring","w4d2","22","BMG","FW","FW","2","3","","","","","","","","","","","","","","","",""
"2026","GCS Spring","w4d3","23","ANK","DCG","DCG","1","3","","","","","","","","","","","","","","","",""
"2026","GCS Spring","w4d3","24","BMG","HKA","BMG","3","1","","","","","","","","","","","","","","","",""
"2026","GCS Spring","w5d1","25","LIT","DCG","DCG","0","3","","","","","","","","","","","","","","","",""
"2026","GCS Spring","w5d1","26","ANK","ONE","ONE","0","3","","","","","","","","","","","","","","","",""
"2026","GCS Spring","w5d2","27","LIT","HKA","HKA","2","3","","","","","","","","","","","","","","","",""
"2026","GCS Spring","w5d2","28","ANK","FW","FW","1","3","","","","","","","","","","","","","","","",""
"2026","GCS Spring","w5d3","29","HKA","FW","FW","1","3","","","","","","","","","","","","","","","",""
"2026","GCS Spring","w5d3","30","BMG","ONE","BMG","3","1","","","","","","","","","","","","","","","",""
"2026","GCS Spring","w6d1","31","LIT","ANK","LIT","3","0","","","","","","","","","","","","","","","",""
"2026","GCS Spring","w6d1","32","DCG","HKA","DCG","3","2","","","","","","","","","","","","","","","",""
"2026","GCS Spring","w6d2","33","ONE","FW","FW","2","3","","","","","","","","","","","","","","","",""
"2026","GCS Spring","w6d2","34","ANK","HKA","ANK","3","0","","","","","","","","","","","","","","","",""
"2026","GCS Spring","w6d3","35","LIT","ONE","LIT","3","1","","","","","","","","","","","","","","","",""
"2026","GCS Spring","w6d3","36","BMG","DCG","DCG","2","3","","","","","","","","","","","","","","","",""
"2026","GCS Spring","w7d1","37","LIT","FW","FW","1","3","","","","","","","","","","","","","","","",""
"2026","GCS Spring","w7d1","38","DCG","ONE","DCG","3","1","","","","","","","","","","","","","","","",""
"2026","GCS Spring","w7d2","39","LIT","BMG","BMG","1","3","","","","","","","","","","","","","","","",""
"2026","GCS Spring","w7d2","40","DCG","FW","FW","2","3","","","","","","","","","","","","","","","",""
"2026","GCS Spring","w7d3","41","ANK","BMG","ANK","3","1","","","","","","","","","","","","","","","",""
"2026","GCS Spring","w7d3","42","ONE","HKA","HKA","1","3","","","","","","","","","","","","","","","",""
"2026","AOG Spring","s1w1d1","1","FPT","BOX","FPT","3","1","","","","","","","","","","","","","","","",""
"2026","AOG Spring","s1w1d1","2","FPL","1S","1S","0","3","","","","","","","","","","","","","","","",""
"2026","AOG Spring","s1w1d1","3","SPN","SGP","SGP","1","3","","","","","","","","","","","","","","","",""
"2026","AOG Spring","s1w1d2","4","GAM","TS","GAM","3","1","","","","","","","","","","","","","","","",""
"2026","AOG Spring","s1w1d2","5","FPT","FPL","FPT","3","1","","","","","","","","","","","","","","","",""
"2026","AOG Spring","s1w1d2","6","1S","SGP","1S","3","0","","","","","","","","","","","","","","","",""
"2026","AOG Spring","s1w2d1","7","TS","BOX","BOX","0","3","","","","","","","","","","","","","","","",""
"2026","AOG Spring","s1w2d1","8","GAM","SPN","GAM","3","1","","","","","","","","","","","","","","","",""
"2026","AOG Spring","s1w2d2","9","GAM","SGP","GAM","3","0","","","","","","","","","","","","","","","",""
"2026","AOG Spring","s1w2d2","10","TS","1S","1S","2","3","","","","","","","","","","","","","","","",""
"2026","AOG Spring","s1w2d2","11","FPT","SPN","FPT","3","0","","","","","","","","","","","","","","","",""
"2026","AOG Spring","s1w2d3","12","FPL","BOX","BOX","1","3","","","","","","","","","","","","","","","",""
"2026","AOG Spring","s1w2d3","13","SGP","TS","SGP","3","2","","","","","","","","","","","","","","","",""
"2026","AOG Spring","s1w2d3","14","1S","FPT","1S","3","0","","","","","","","","","","","","","","","",""
"2026","AOG Spring","s1w2d4","15","SPN","FPL","FPL","0","3","","","","","","","","","","","","","","","",""
"2026","AOG Spring","s1w2d4","16","BOX","GAM","BOX","3","1","","","","","","","","","","","","","","","",""
"2026","AOG Spring","s1w2d4","17","FPT","SGP","FPT","3","0","","","","","","","","","","","","","","","",""
"2026","AOG Spring","s1w3d1","18","SPN","TS","TS","0","3","","","","","","","","","","","","","","","",""
"2026","AOG Spring","s1w3d1","19","FPL","GAM","FPL","3","0","","","","","","","","","","","","","","","",""
"2026","AOG Spring","s1w3d1","20","BOX","1S","BOX","3","1","","","","","","","","","","","","","","","",""
"2026","AOG Spring","s1w3d2","21","TS","FPL","FPL","1","3","","","","","","","","","","","","","","","",""
"2026","AOG Spring","s1w3d2","22","GAM","FPT","GAM","3","1","","","","","","","","","","","","","","","",""
"2026","AOG Spring","s1w3d2","23","SGP","BOX","SGP","3","0","","","","","","","","","","","","","","","",""
"2026","AOG Spring","s1w3d3","24","SPN","1S","1S","0","3","","","","","","","","","","","","","","","",""
"2026","AOG Spring","s1w3d3","25","SGP","FPL","SGP","3","1","","","","","","","","","","","","","","","",""
"2026","AOG Spring","s1w3d3","26","TS","FPT","FPT","0","3","","","","","","","","","","","","","","","",""
"2026","AOG Spring","s1w3d4","27","1S","GAM","GAM","1","3","","","","","","","","","","","","","","","",""
"2026","AOG Spring","s1w3d4","28","BOX","SPN","BOX","3","1","","","","","","","","","","","","","","","",""
"2026","AOG Spring","s1w4d1","29","GAM","1S","1S","0","3","","","","","","","","","","","","","","","",""
"2026","AOG Spring","s1w4d1","30","SPN","FPT","FPT","2","3","","","","","","","","","","","","","","","",""
"2026","AOG Spring","s1w4d1","31","BOX","SGP","SGP","1","3","","","","","","","","","","","","","","","",""
"2026","AOG Spring","s1w4d2","32","FPL","TS","FPL","3","1","","","","","","","","","","","","","","","",""
"2026","AOG Spring","s1w4d2","33","BOX","FPT","BOX","3","2","","","","","","","","","","","","","","","",""
"2026","AOG Spring","s1w4d2","34","SGP","1S","1S","0","3","","","","","","","","","","","","","","","",""
"2026","AOG Spring","s1w5d1","35","GAM","FPL","GAM","3","2","","","","","","","","","","","","","","","",""
"2026","AOG Spring","s1w5d1","36","TS","SPN","SPN","2","3","","","","","","","","","","","","","","","",""
"2026","AOG Spring","s1w5d2","37","SGP","GAM","SGP","3","0","","","","","","","","","","","","","","","",""
"2026","AOG Spring","s1w5d2","38","FPL","FPT","FPT","0","3","","","","","","","","","","","","","","","",""
"2026","AOG Spring","s1w5d2","39","1S","TS","1S","3","0","","","","","","","","","","","","","","","",""
"2026","AOG Spring","s1w5d3","40","SPN","BOX","SPN","3","0","","","","","","","","","","","","","","","",""
"2026","AOG Spring","s1w5d3","41","1S","FPL","FPL","1","3","","","","","","","","","","","","","","","",""
"2026","AOG Spring","s1w5d3","42","SGP","FPT","SGP","3","2","","","","","","","","","","","","","","","",""
"2026","AOG Spring","s1w5d4","43","SPN","GAM","SPN","3","1","","","","","","","","","","","","","","","",""
"2026","AOG Spring","s1w5d4","44","BOX","TS","BOX","3","1","","","","","","","","","","","","","","","",""
"2026","AOG Spring","s1w5d4","45","FPT","1S","FPT","3","1","","","","","","","","","","","","","","","",""
"2026","AOG Spring","s1w6d1","46","TS","GAM","GAM","0","3","","","","","","","","","","","","","","","",""
"2026","AOG Spring","s1w6d1","47","BOX","FPL","BOX","3","2","","","","","","","","","","","","","","","",""
"2026","AOG Spring","s1w6d2","48","SGP","SPN","SGP","3","1","","","","","","","","","","","","","","","",""
"2026","AOG Spring","s1w6d2","49","FPT","TS","FPT","3","1","","","","","","","","","","","","","","","",""
"2026","AOG Spring","s1w6d2","50","GAM","BOX","BOX","1","3","","","","","","","","","","","","","","","",""
"2026","AOG Spring","s1w6d3","51","FPL","SGP","SGP","2","3","","","","","","","","","","","","","","","",""
"2026","AOG Spring","s1w6d3","52","1S","SPN","1S","3","0","","","","","","","","","","","","","","","",""
"2026","AOG Spring","s1w6d3","53","FPT","GAM","FPT","3","1","","","","","","","","","","","","","","","",""
"2026","AOG Spring","s1w6d4","54","FPL","SPN","FPL","3","2","","","","","","","","","","","","","","","",""
"2026","AOG Spring","s1w6d4","55","TS","SGP","SGP","0","3","","","","","","","","","","","","","","","",""
